"activity"	"subject"	"activity"	"subject"
"1"	"1"	NA	NA
"2"	"1"	NA	NA
"3"	"1"	NA	NA
"4"	"1"	NA	NA
"5"	"1"	NA	NA
"6"	"1"	NA	NA
"1"	"2"	NA	NA
"2"	"2"	NA	NA
"3"	"2"	NA	NA
"4"	"2"	NA	NA
"5"	"2"	NA	NA
"6"	"2"	NA	NA
"1"	"3"	NA	NA
"2"	"3"	NA	NA
"3"	"3"	NA	NA
"4"	"3"	NA	NA
"5"	"3"	NA	NA
"6"	"3"	NA	NA
"1"	"4"	NA	NA
"2"	"4"	NA	NA
"3"	"4"	NA	NA
"4"	"4"	NA	NA
"5"	"4"	NA	NA
"6"	"4"	NA	NA
"1"	"5"	NA	NA
"2"	"5"	NA	NA
"3"	"5"	NA	NA
"4"	"5"	NA	NA
"5"	"5"	NA	NA
"6"	"5"	NA	NA
"1"	"6"	NA	NA
"2"	"6"	NA	NA
"3"	"6"	NA	NA
"4"	"6"	NA	NA
"5"	"6"	NA	NA
"6"	"6"	NA	NA
"1"	"7"	NA	NA
"2"	"7"	NA	NA
"3"	"7"	NA	NA
"4"	"7"	NA	NA
"5"	"7"	NA	NA
"6"	"7"	NA	NA
"1"	"8"	NA	NA
"2"	"8"	NA	NA
"3"	"8"	NA	NA
"4"	"8"	NA	NA
"5"	"8"	NA	NA
"6"	"8"	NA	NA
"1"	"9"	NA	NA
"2"	"9"	NA	NA
"3"	"9"	NA	NA
"4"	"9"	NA	NA
"5"	"9"	NA	NA
"6"	"9"	NA	NA
"1"	"10"	NA	NA
"2"	"10"	NA	NA
"3"	"10"	NA	NA
"4"	"10"	NA	NA
"5"	"10"	NA	NA
"6"	"10"	NA	NA
"1"	"11"	NA	NA
"2"	"11"	NA	NA
"3"	"11"	NA	NA
"4"	"11"	NA	NA
"5"	"11"	NA	NA
"6"	"11"	NA	NA
"1"	"12"	NA	NA
"2"	"12"	NA	NA
"3"	"12"	NA	NA
"4"	"12"	NA	NA
"5"	"12"	NA	NA
"6"	"12"	NA	NA
"1"	"13"	NA	NA
"2"	"13"	NA	NA
"3"	"13"	NA	NA
"4"	"13"	NA	NA
"5"	"13"	NA	NA
"6"	"13"	NA	NA
"1"	"14"	NA	NA
"2"	"14"	NA	NA
"3"	"14"	NA	NA
"4"	"14"	NA	NA
"5"	"14"	NA	NA
"6"	"14"	NA	NA
"1"	"15"	NA	NA
"2"	"15"	NA	NA
"3"	"15"	NA	NA
"4"	"15"	NA	NA
"5"	"15"	NA	NA
"6"	"15"	NA	NA
"1"	"16"	NA	NA
"2"	"16"	NA	NA
"3"	"16"	NA	NA
"4"	"16"	NA	NA
"5"	"16"	NA	NA
"6"	"16"	NA	NA
"1"	"17"	NA	NA
"2"	"17"	NA	NA
"3"	"17"	NA	NA
"4"	"17"	NA	NA
"5"	"17"	NA	NA
"6"	"17"	NA	NA
"1"	"18"	NA	NA
"2"	"18"	NA	NA
"3"	"18"	NA	NA
"4"	"18"	NA	NA
"5"	"18"	NA	NA
"6"	"18"	NA	NA
"1"	"19"	NA	NA
"2"	"19"	NA	NA
"3"	"19"	NA	NA
"4"	"19"	NA	NA
"5"	"19"	NA	NA
"6"	"19"	NA	NA
"1"	"20"	NA	NA
"2"	"20"	NA	NA
"3"	"20"	NA	NA
"4"	"20"	NA	NA
"5"	"20"	NA	NA
"6"	"20"	NA	NA
"1"	"21"	NA	NA
"2"	"21"	NA	NA
"3"	"21"	NA	NA
"4"	"21"	NA	NA
"5"	"21"	NA	NA
"6"	"21"	NA	NA
"1"	"22"	NA	NA
"2"	"22"	NA	NA
"3"	"22"	NA	NA
"4"	"22"	NA	NA
"5"	"22"	NA	NA
"6"	"22"	NA	NA
"1"	"23"	NA	NA
"2"	"23"	NA	NA
"3"	"23"	NA	NA
"4"	"23"	NA	NA
"5"	"23"	NA	NA
"6"	"23"	NA	NA
"1"	"24"	NA	NA
"2"	"24"	NA	NA
"3"	"24"	NA	NA
"4"	"24"	NA	NA
"5"	"24"	NA	NA
"6"	"24"	NA	NA
"1"	"25"	NA	NA
"2"	"25"	NA	NA
"3"	"25"	NA	NA
"4"	"25"	NA	NA
"5"	"25"	NA	NA
"6"	"25"	NA	NA
"1"	"26"	NA	NA
"2"	"26"	NA	NA
"3"	"26"	NA	NA
"4"	"26"	NA	NA
"5"	"26"	NA	NA
"6"	"26"	NA	NA
"1"	"27"	NA	NA
"2"	"27"	NA	NA
"3"	"27"	NA	NA
"4"	"27"	NA	NA
"5"	"27"	NA	NA
"6"	"27"	NA	NA
"1"	"28"	NA	NA
"2"	"28"	NA	NA
"3"	"28"	NA	NA
"4"	"28"	NA	NA
"5"	"28"	NA	NA
"6"	"28"	NA	NA
"1"	"29"	NA	NA
"2"	"29"	NA	NA
"3"	"29"	NA	NA
"4"	"29"	NA	NA
"5"	"29"	NA	NA
"6"	"29"	NA	NA
"1"	"30"	NA	NA
"2"	"30"	NA	NA
"3"	"30"	NA	NA
"4"	"30"	NA	NA
"5"	"30"	NA	NA
"6"	"30"	NA	NA
